Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Currency
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Healthcare Healthcare,University of Bristol GRANT,37922039,9024.63,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Physical Sciences,University of Bristol GRANT,37922039,21057.46,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Physical Sciences,University of York GRANT,37922040,35121.97,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Engineering,SAMS Scottish Association for Marine Science,37922041,1307.2,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Physical Sciences,University of Manchester GRANT,37922042,9598.82,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Healthcare Healthcare,University College London GRANT,37922043,14260.15,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Engineering,University College London GRANT,37922043,14260.11,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Physical Sciences,University of Bath,37922044,21630.06,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Engineering,ICSTM,37922045,29269.8,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Physical Sciences,University of Oxford GRANT,37922046,33910.99,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Engineering,University of Nottingham GRANT,37922047,25326.47,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Engineering,ICSTM,37922048,33816.1,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Maths,ICSTM,37922049,25686.06,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Maths,University of Bristol GRANT,37922050,10440.9,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Maths,University College London GRANT,37922051,20222.72,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Manufacturing Manufacturing,ICSTM,37922052,13810.02,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Physical Sciences,ICSTM,37922052,13809.98,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Maths,ICSTM,37922053,21882.85,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Physical Sciences,Queen's University Belfast GRANT,37922054,29489.37,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,"Materials, Mechanical and Medical Engineering",University of Warwick,37922055,55898.21,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Healthcare Healthcare,University of Warwick,37922056,16475.69,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Maths,University of Warwick,37922056,16475.66,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Physical Sciences,"University of Wales, Cardiff - UWC",37922057,29169.26,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Maths,University of Durham GRANT,37922058,8055.59,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Maths,University of Warwick,37922059,12263.25,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Maths,University of Warwick,37922060,28044.49,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Digital Economy Digital Economy,Goldsmiths College University of London,37922061,11111.29,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC ICT,Goldsmiths College University of London,37922061,11111.28,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Healthcare Healthcare,Open University GRANT,37922063,28142.95,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Physical Sciences,University of Birmingham GRANT,37922064,31209.42,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Healthcare Healthcare,University of Strathclyde GRANT,37922065,2460.48,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Physical Sciences,University of Strathclyde GRANT,37922065,22144.24,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Physical Sciences,University College London GRANT,37922066,24422.47,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU Global Uncertainty,University of Edinburgh,37922067,82962.64,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Engineering,University of Southampton GRANT,37922068,22307.6,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Physical Sciences,University of Strathclyde GRANT,37922069,28976.04,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Physical Sciences,University College London GRANT,37922070,25893.51,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Physical Sciences,University College London GRANT,37922070,25893.51,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Physical Sciences,University of Glasgow GRANT,37922071,30400.19,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Engineering,University of Newcastle upon Tyne GRANT,37922072,28232.06,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Maths,University of Dundee,37922073,14485.83,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Manufacturing Manufacturing,ICSTM,37922074,16538.29,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Engineering,ICSTM,37922075,201165.04,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Energy Research Capacity,University of Newcastle upon Tyne GRANT,37922076,4263.96,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Energy Research Capacity,University of Newcastle upon Tyne GRANT,37922076,4263.96,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Energy Research Capacity,University of Newcastle upon Tyne GRANT,37922076,4263.96,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Mathematical Sciences,University of Newcastle upon Tyne GRANT,37922076,2842.63,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Mathematical Sciences,University of Newcastle upon Tyne GRANT,37922076,2842.63,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Mathematical Sciences,University of Newcastle upon Tyne GRANT,37922076,2842.63,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC ICT,University of Wales Aberystwyth,37922077,415.32,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Maths,University of Wales Aberystwyth,37922077,3737.85,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Digital Economy Digital Economy,University of Bristol GRANT,37922078,5226.53,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Digital Economy Digital Economy,University of Bristol GRANT,37922078,5226.53,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Manufacturing Manufacturing,University of Bristol GRANT,37922078,99303.95,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Manufacturing Manufacturing,University of Bristol GRANT,37922078,99303.95,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Manufacturing Manufacturing,University of Cambridge,37922079,32352.97,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Healthcare ICT,University of Manchester GRANT,37922081,4842.04,GBP
